loan_id,book_id,member_id,loan_date,return_date
1,920,532,2023-02-28,2024-07-19
2,912,663,2023-07-08,2024-08-14
3,309,891,2023-09-05,2024-02-23
4,250,447,2023-07-18,2024-05-05
5,46,372,2023-09-09,2024-07-18
6,645,554,2023-08-05,2024-07-24
7,998,900,2023-05-15,2024-07-13
8,819,119,2023-09-15,2024-08-19
9,906,757,2023-04-12,2024-09-02
10,840,605,2023-01-13,2024-02-01
11,606,92,2023-09-10,2024-08-16
12,732,843,2023-07-02,2024-06-21
13,588,79,2023-12-20,2024-08-27
14,449,95,2023-12-30,2024-04-07
15,970,828,2023-07-27,2024-04-05
16,410,721,2023-09-24,2024-08-19
17,942,442,2023-01-27,2024-07-13
18,729,642,2023-07-01,2024-05-25
19,545,673,2023-10-07,2024-07-30
20,141,68,2023-02-25,2024-04-19
21,883,798,2023-03-27,2024-04-13
22,484,4,2023-10-16,2024-05-06
23,297,151,2023-08-29,2024-03-29
24,502,634,2023-01-19,2024-11-08
25,122,244,2023-12-27,2024-12-24
26,631,751,2023-01-08,2024-04-20
27,426,489,2023-10-13,2024-10-01
28,87,938,2023-08-08,2024-11-21
29,445,739,2023-09-18,2024-01-22
30,845,327,2023-07-12,2024-03-27
31,801,652,2023-11-14,2024-07-25
32,199,269,2023-11-04,2024-11-12
33,441,123,2023-06-27,2024-05-25
34,867,988,2023-09-14,2024-08-16
35,574,971,2023-10-31,2024-09-15
36,20,65,2023-05-10,2024-04-02
37,94,19,2023-05-20,2024-05-13
38,491,524,2023-01-21,2024-03-16
39,183,45,2023-10-24,2024-10-10
40,36,195,2023-04-06,2024-09-10
41,927,341,2023-11-15,2024-06-14
42,205,420,2023-03-23,2024-12-15
43,168,381,2023-05-24,2024-01-12
44,574,710,2023-01-04,2024-10-07
45,940,486,2023-11-02,2024-03-13
46,711,257,2023-12-26,2024-06-11
47,480,491,2023-04-16,2024-10-21
48,602,251,2023-12-15,2024-03-28
49,861,883,2023-10-23,2024-06-02
50,729,747,2023-01-17,2024-02-08
51,66,226,2023-06-02,2024-12-15
52,288,748,2023-07-26,2024-11-30
53,638,342,2023-07-13,2024-04-07
54,893,544,2023-12-09,2024-08-31
55,665,175,2023-08-23,2024-11-10
56,871,462,2023-05-21,2024-05-02
57,532,960,2023-01-18,2024-10-02
58,347,107,2023-05-16,2024-01-06
59,198,846,2023-09-25,2024-12-05
60,927,942,2023-03-05,2024-08-28
61,699,430,2023-12-01,2024-09-17
62,288,408,2023-12-12,2024-01-01
63,855,52,2023-09-20,2024-12-01
64,546,186,2023-01-16,2024-11-28
65,235,783,2023-01-24,2024-12-30
66,224,979,2023-06-16,2024-05-30
67,812,963,2023-06-27,2024-01-28
68,753,820,2023-05-29,2024-04-13
69,698,143,2023-11-10,2024-10-15
70,450,505,2023-02-02,2024-07-22
71,439,330,2023-05-16,2024-03-08
72,435,474,2023-04-30,2024-02-15
73,627,249,2023-11-20,2024-07-15
74,778,655,2023-02-20,2024-07-27
75,985,540,2023-09-05,2024-08-15
76,944,262,2023-12-10,2024-05-21
77,470,199,2023-02-04,2024-03-20
78,473,709,2023-07-13,2024-03-30
79,170,416,2023-07-17,2024-01-29
80,428,13,2023-08-04,2024-05-05
81,400,831,2023-08-01,2024-08-30
82,90,654,2023-03-18,2024-08-04
83,775,287,2023-02-23,2024-10-28
84,264,550,2023-01-05,2024-12-01
85,679,481,2023-01-01,2024-02-02
86,830,568,2023-06-01,2024-04-30
87,877,376,2023-09-14,2024-08-10
88,640,473,2023-09-25,2024-03-07
89,185,474,2023-07-06,2024-01-06
90,25,79,2023-03-26,2024-07-12
91,793,713,2023-01-31,2024-08-25
92,255,61,2023-03-16,2024-09-27
93,634,978,2023-03-08,2024-09-13
94,982,596,2023-10-16,2024-06-29
95,184,779,2023-08-23,2024-06-15
96,802,352,2023-09-04,2024-03-05
97,929,728,2023-06-18,2024-11-14
98,150,590,2023-11-18,2024-12-07
99,170,656,2023-01-22,2024-03-28
100,964,562,2023-02-18,2024-08-20
101,400,198,2023-08-25,2024-12-21
102,821,824,2023-02-19,2024-01-16
103,424,830,2023-02-09,2024-09-22
104,345,673,2023-09-13,2024-05-13
105,671,525,2023-11-05,2024-12-28
106,304,151,2023-11-02,2024-11-02
107,494,502,2023-02-11,2024-02-29
108,605,836,2023-05-30,2024-04-26
109,520,303,2023-03-13,2024-06-10
110,428,966,2023-11-09,2024-08-30
111,645,752,2023-10-04,2024-06-08
112,800,191,2023-07-23,2024-07-20
113,790,168,2023-01-16,2024-06-11
114,909,618,2023-09-16,2024-08-20
115,535,650,2023-12-02,2024-05-21
116,409,949,2023-09-13,2024-04-08
117,790,687,2023-05-23,2024-10-04
118,961,465,2023-04-07,2024-10-26
119,604,447,2023-01-09,2024-07-15
120,391,228,2023-08-11,2024-09-08
121,283,154,2023-10-07,2024-08-25
122,575,576,2023-12-06,2024-05-24
123,25,783,2023-04-30,2024-12-29
124,303,970,2023-05-08,2024-01-21
125,180,885,2023-03-27,2024-05-23
126,813,860,2023-09-17,2024-08-19
127,808,183,2023-05-05,2024-09-12
128,174,567,2023-01-17,2024-10-03
129,433,984,2023-06-12,2024-03-27
130,462,96,2023-03-17,2024-08-01
131,296,807,2023-04-26,2024-11-15
132,39,626,2023-01-22,2024-07-14
133,937,299,2023-12-01,2024-09-22
134,113,444,2023-08-23,2024-11-16
135,631,712,2023-05-31,2024-11-10
136,735,201,2023-07-21,2024-08-07
137,974,49,2023-07-09,2024-10-09
138,337,784,2023-12-18,2024-02-08
139,969,217,2023-08-29,2024-07-28
140,397,595,2023-03-30,2024-12-05
141,212,525,2023-02-01,2024-02-14
142,197,749,2023-10-05,2024-05-21
143,16,136,2023-06-21,2024-02-01
144,815,376,2023-01-18,2024-09-09
145,202,853,2023-02-16,2024-11-03
146,922,460,2023-02-18,2024-12-28
147,248,923,2023-04-13,2024-10-23
148,127,566,2023-12-19,2024-02-01
149,967,749,2023-05-19,2024-08-02
150,466,147,2023-01-12,2024-05-07
151,770,443,2023-02-28,2024-01-14
152,890,813,2023-03-13,2024-06-26
153,669,489,2023-10-19,2024-03-10
154,913,893,2023-07-11,2024-08-22
